drug	disease	label
DB06589	C0003492	0
DB00729	C0017152	1
DB01043	C1527336	0
DB00237	C0917801	1
DB09389	C0405580	0
DB00396	C0025874	1
DB08860	C0020474	1
DB01229	C0678222	1
DB13933	C0024031	0
DB01053	C0014550	0
penfluridol	C0040038	0
DB01708	C0029453	1
DB08819	C0006267	0
DB01427	C0007193	1
DB01628	C0003872	1
DB12095	C0018802	0
DB12833	C0409959	0
DB09205	C0034734	1
DB05676	C0003864	1
DB00612	C0020538	1
DB00997	C1458155	1
DB00382	C0677607	0
DB06212	C0085413	1
DB00232	C0007785	0
DB00544	C1527249	1
DB00376	C0014356	0
DB00248	C0032000	1
DB00953	C0002994	0
budipine	C0013384	0
DB00861	C0004238	0
DB00352	C0023481	1
DB00706	C0011860	0
DB00959	C0023449	1
DB08815	C0007102	0
DB00834	C0011860	1
DB01053	C0014733	1
DB00622	C0020538	1
DB00052	C0151686	1
DB09204	C0009952	0
DB00531	C0026764	1
DB00119	C0001418	0
DB00052	C0013338	1
DB06273	C0003873	1
DB06697	C0029442	0
DB06709	C0042842	0
DB09059	C0018924	0
DB01438	C0013428	1
DB11235	C0028754	0
DB04216	C0018671	0
DB00959	C3463824	0
DB12230	C0017601	1
DB00863	C0043515	1
DB00719	C0032227	0
DB01365	C1540912	0
DB01117	C0877792	0
DB06151	C0034067	1
DB00942	C0004352	0
DB14006	C0003873	1
DB00317	C0238462	0
DB01586	C0856727	1
DB01327	C1140680	0
DB06282	C0037930	0
DB00391	C0003467	1
DB00719	C0022104	0
DB01030	C0919267	1
DB01380	C0024301	1
DB01327	C0149725	1
DB06213	C0036508	0
DB00916	C0035854	1
DB00072	C0221013	0
DB00360	C0751435	1
DB01580	C0003467	1
DB00396	C0232940	1
DB06707	C0032000	0
DB01193	C0020538	1
DB01013	C0018801	0
DB00307	C0011849	1
DB00862	C0006413	0
DB01032	C0235480	0
DB00054	C1621958	0
DB00546	C0220710	0
DB00960	C0004238	1
DB00008	C0024437	1
DB00630	C0220989	0
DB00561	C0235063	1
DB03904	C0079584	1
DB00588	C0024586	0
DB01219	C0026709	0
DB04843	C0030920	1
DB00348	C0268483	1
DB01021	C0020542	0
DB07615	C0030848	0
DB00035	C0041948	1
DB01356	C0013182	0
DB00400	C0001973	0
DB01284	C0005779	0
DB03904	C0022593	1
DB00946	C0740394	0
DB00432	C0007102	1
DB01210	C0027424	0
DB01185	C1458155	1
DB01195	C0476089	0
DB00659	C1527336	0
DB00641	C0042373	0
DB09126	C0149704	0
DB01094	C0004153	0
DB00628	C0005699	0
gentamycin	C0268543	0
DB04846	C0021141	0
DB00860	C0009763	1
DB00180	C0014868	0
DB00497	C0034063	1
DB01404	C0242350	1
DB00266	C0149871	1
DB06410	C0020502	1
DB04837	C0546817	0
DB00635	C0001403	1
DB00699	C0149931	1
DB06230	C0032027	0
DB01238	C0005586	1
DB01030	C0262584	1
DB04938	C1384606	1
DB01020	C0020517	0
DB00620	C0026769	1
DB09271	C0428974	0
DB04941	C0026691	0
DB11130	C0235974	0
DB00773	C0023470	1
DB01352	C0021603	1
DB04894	C0020179	0
DB00283	C0033774	1
DB00662	C0015371	0
DB00741	C0014742	1
DB01241	C0020480	1
DB00204	C0004239	1
DB00925	C0031511	1
DB00511	C0018802	1
DB01035	C0042514	1
DB01234	C0036983	1
DB06202	C0038358	0
DB00959	C0002994	1
DB00741	C0001623	1
DB05541	C0040517	0
DB01001	C0004096	1
DB00637	C0151714	0
DB01624	C0042029	0
DB00005	C3495559	1
DB04865	C0023473	1
DB00968	C0003811	0
DB00091	C0003873	1
DB00868	C0034012	0
DB11591	C1527304	0
DB00860	C0007570	1
DB00300	C0020179	0
DB00030	C0011860	1
DB00920	C0018916	0
DB00573	C0029408	1
DB00298	C0409959	0
DB00949	C0014544	1
DB09286	C0036341	1
DB00470	C0001973	0
DB00650	C0036323	0
DB01243	C0001618	0
DB00945	C0021308	1
DB00177	C0011881	1
DB04865	C0025322	0
DB00741	C0026948	1
DB00104	C0151636	0
DB00087	C2930898	0
DB01168	C0019829	1
DB00903	C0022661	1
DB00761	C0220983	1
DB00783	C0271578	1
DB00963	C0020619	0
DB14006	C0029408	1
DB01254	C1960397	1
DB00038	C0042109	0
DB00970	C2931618	1
DB00342	C0039685	0
DB00914	C0011860	1
DB00069	C0524910	1
DB08872	C0032768	1
DB00808	C0027726	1
DB11753	C0021051	0
DB01110	C0019880	0
DB00997	C0024301	1
DB00048	C0004153	0
DB00248	C1960397	0
DB00647	C0030193	1
DB00882	C0002962	0
DB09059	C0038454	1
DB00421	C0027726	1
DB00591	C0037036	0
DB00136	C0027121	0
DB00691	C0033375	0
DB01685	C0023437	0
DB00255	C1458155	1
DB00337	C0024473	0
DB06230	C0235063	1
DB01086	C0010200	1
DB00328	C0039103	1
DB01032	C0002792	0
fenigam	C0042345	0
DB09215	C0025874	0
DB00322	C0031046	0
DB00421	C0007193	0
DB01397	C0017168	0
DB01248	C1458155	1
DB01628	C0038013	1
DB00190	C0023212	0
DB00934	C1956346	0
DB06700	C0349464	0
DB01036	C0042023	1
DB00746	C0019087	0
DB00489	C0085612	1
DB00909	C0014544	1
DB00970	C0025202	1
DB00186	C0014553	1
DB09015	C0013604	1
DB00501	C0013295	1
DB01436	C0020437	0
DB01179	C0013421	0
hydrocortisone-butyrate	C0013595	1
DB13928	C0032463	0
prednisolone-sodium-phosphate	C0003873	1
DB00978	C0028840	0
DB00675	C1134719	1
DB00190	C0220994	0
DB04846	C0003811	1
DB00213	C0030920	1
DB00543	C0553580	0
DB00223	C1704417	0
DB01408	C0034067	1
DB00993	C0003873	1
DB00463	C0013421	0
DB00734	C0036341	1
DB01124	C0022116	0
DB00060	C0040028	1
DB00195	C0017612	1
DB04866	C0020443	0
DB00544	C0281361	1
DB01181	C0039590	1
DB00288	C0015230	1
DB08835	C0022650	0
DB11635	C0042875	1
DB01100	C0002965	0
DB08877	C0013604	0
DB00604	C0241961	0
DB00967	C1142132	0
DB00371	C0024121	0
DB01252	C0011849	1
DB00200	C0042847	1
DB04837	C0002736	0
DB00986	C0037036	1
DB01149	C0085605	0
DB00523	C0011603	1
DB00146	C0029456	1
DB00513	C1263846	0
DB01168	C0032000	0
DB01380	C0011606	1
DB00203	C0030590	0
buflomedil	C0010200	0
DB00494	C0030567	1
DB00677	C0027498	0
DB00287	C0029134	0
DB01168	C0026764	1
epalrestat	C1621958	0
DB11324	C0311277	0
DB01277	C0271568	1
DB01219	C0037763	1
DB00847	C0011849	0
DB09564	C0017086	0
DB00351	C0476089	1
DB00936	C0428977	0
DB01214	C0010930	0
DB00651	C0346647	0
DB09220	C0003811	1
DB00712	C0029408	1
DB00282	C0029401	1
DB01595	C0152020	0
DB01233	C1263846	0
DB09213	C0015967	1
DB01130	C0015230	1
DB00637	C0013386	0
DB00851	C0027819	1
DB00119	C0042571	0
DB11994	C0001403	0
DB00449	C0042875	0
DB00527	C0033774	1
DB01244	C1384606	0
DB01071	C0027022	0
DB01090	C0029191	0
DB01220	C0014549	0
dexamethasone-sodium-phosphate	C0020437	1
DB00550	C0020550	1
DB13179	C0004096	1
DB01197	C0020540	1
DB01090	C0030567	0
DB08811	C0003467	1
DB00364	C0017152	1
DB00570	C0019618	1
DB00959	C0011616	1
DB04898	C0040053	1
DB01071	C0006413	0
DB13943	C0271623	1
DB01622	C0039240	0
DB01005	C0278996	1
DB06213	C0020517	0
DB06372	C2316212	1
DB00448	C0014474	0
DB11324	C1384600	0
DB04665	C0150055	0
DB00433	C0030567	0
DB00670	C0030920	1
DB01034	C2607914	0
DB12833	C0025294	0
DB00620	C0024305	1
DB00959	C0003872	1
DB00773	C0553580	1
ACT-132577	C0017531	0
DB00545	C0026896	1
DB09351	C0042133	0
maropitant	C0005138	0
DB05351	C0035854	0
DB01240	C0948089	0
DB00264	C0948089	1
DB00253	C0014583	1
DB00158	C0021359	0
DB01086	C0033774	1
DB00367	C0497327	0
DB00967	C0020517	1
DB09568	C0020557	1
DB11324	C0231528	1
DB08932	C0001126	0
DB00385	C0005684	1
DB06282	C0018621	1
DB00832	C0036572	1
DB06287	C0006142	1
DB05039	C0034067	1
DB04878	C0011849	1
DB01380	C0037274	1
DB00313	C0020550	0
DB13999	C0242339	0
DB00119	C0017160	0
DB00741	C0019829	1
hyaluronic-acid	C0007194	0
DB01380	C0004364	1
DB00285	C0030319	1
DB00795	C0009324	1
DB00545	C0008311	0
DB00327	C0010200	1
DB00636	C0020479	1
DB01234	C0029408	1
DB01121	C0008149	0
DB00902	C0010346	0
DB00607	C2242472	1
DB08819	C0033975	0
DB00620	C0042164	1
DB12153	C0030567	1
DB00434	C0020517	1
DB00873	C0022073	1
hyaluronic-acid	C0029408	1
DB00412	C0035220	0
DB00692	C0020540	1
DB00877	C0040038	0
DB00986	C1704417	0
DB00104	C0001206	1
DB00309	C0020517	0
DB00936	C0702166	1
DB06655	C0473527	0
DB01265	C0149745	0
DB01204	C0010054	0
DB01064	C0018790	1
DB06210	C0002871	1
DB00078	C0024301	1
DB09038	C0011860	1
DB00610	C0029927	0
methylprednisolone-aceponate	C0085682	0
DB00420	C0027498	1
DB00211	C0020550	0
DB00451	C0018021	1
DB02709	C0041582	0
DB06782	C0011991	0
DB06711	C0020452	1
DB08881	C0003467	0
DB00542	C0272375	0
DB06691	C0149704	0
DB01164	C0151714	1
DB01615	C0917801	1
deracoxib	C0029408	1
DB01039	C0020474	1
DB01356	C0015967	1
DB00385	C0268490	0
DB00668	C0036983	1
DB00312	C0038220	1
DB00384	C0020621	1
DB01173	C0014556	0
DB01026	C0036508	1
DB00394	C0003811	1
DB00727	C0020542	1
DB01121	C0014544	1
hydrocortisone-phosphate	C0409959	0
DB00388	C0015967	1
DB11994	C0005694	0
DB01043	C0002395	1
DB01214	C0035335	0
DB01122	C0022548	0
DB00312	C0027662	0
DB06756	C0162429	0
DB00472	C0011581	1
DB00843	C0020179	0
DB01090	C0009375	0
DB04876	C0014877	0
DB01240	C0020542	1
DB01126	C2937421	1
butorphanol-(+)-tartrate	C0013144	0
DB00674	C0028326	0
DB00399	C0242488	0
DB00757	C0919267	0
DB01252	C1527311	0
DB00861	C0006142	0
DB00446	C0037763	0
DB00283	C0020517	1
DB00798	C0031154	1
DB01219	C0007789	1
acefylline	C0006142	0
DB00898	C0040997	1
DB01401	C0409959	0
DB01597	C2930898	0
DB00988	C0018681	1
DB00978	C0042029	1
DB00105	C1540912	1
DB13954	C0020619	1
DB00852	C0018621	1
DB02772	C0162429	1
DB00180	C0002965	0
DB01625	C0023467	0
DB00678	C0001627	0
DB09076	C0242973	0
DB01106	C0847614	1
DB08828	C0007117	1
DB01057	C0014877	1
DB01235	C0242422	1
DB00040	C0023418	0
DB00662	C0027497	1
DB00843	C0023892	0
DB08992	C0037763	1
DB01243	C0014356	1
DB00687	C0405580	1
DB00155	C1458155	0
DB00982	C0022593	1
DB09097	C0024586	0
DB00196	C0236964	0
DB00622	C1961099	0
DB01400	C0017601	1
DB00812	C0034885	0
DB08931	C0150055	0
DB00467	C0011882	0
DB01142	C0023448	0
DB00302	C0018681	0
DB09018	C0005699	0
DB12947	C0032897	0
DB13345	C0036421	0
DB01325	C0014550	0
DB09128	C0162627	0
DB01050	C0030193	1
DB00945	C0003873	1
DB00400	C0022116	0
DB00286	C0006142	1
DB00537	C0010692	1
DB01437	C0917801	1
DB01049	C0004239	0
DB06290	C0037199	0
DB09564	C0036983	0
DB00876	C0020538	1
DB00823	C0175683	0
DB00887	C0013604	1
DB00361	C0007131	1
DB00655	C0003873	0
DB00546	C0149958	0
DB00016	C0002871	1
DB01296	C0039483	0
DB06819	C0021603	0
DB09146	C0002871	1
DB08873	C0014544	0
DB01078	C0220983	0
DB00352	C0019080	0
DB01426	C0037930	0
DB00797	C0042880	0
falecalcitriol	C0018099	0
DB00925	C0020540	1
DB00860	C0040147	1
DB00273	C0014549	1
DB00695	C0022661	1
DB00655	C0702166	0
DB00630	C0029401	1
DB00199	C0155862	1
DB12364	C0040053	1
DB04938	C1336708	0
DB09213	C0013390	1
DB01591	C0085606	1
cortisone	C0282528	0
DB01192	C0021051	0
DB00320	C0034734	0
DB01084	C0033774	1
DB08985	C0015967	1
DB00035	C0011848	1
DB01263	C0376545	1
DB08908	C0376358	0
DB11614	C0027424	0
DB01162	C0010308	0
DB01089	C0234533	0
DB00596	C0036508	1
DB00531	C0035335	1
DB06267	C0023473	0
DB00740	C0016470	0
DB06711	C0238463	0
DB00916	C0919267	0
DB01070	C0020598	1
DB00441	C0028734	0
DB03619	C0038356	0
DB01366	C0011854	0
DB00736	C0043515	1
DB11071	C0282488	1
DB01166	C0030569	0
DB00977	C0033578	1
DB00207	C0745103	0
DB01138	C0005741	0
DB06706	C0018681	1
DB00846	C0022548	0
DB01280	C0003467	0
DB00437	C0022650	1
DB06589	C0276226	0
DB00794	C0014544	1
DB01285	C0259817	0
DB00920	C0005586	0
DB01364	C0005779	0
DB11059	C0041296	0
DB08890	C2973725	0
DB00790	C1956346	1
phosphatidylcholine	C1263846	0
DB00146	C0042870	1
DB09014	C0221765	0
DB01591	C0042023	1
DB01049	C0026691	0
DB00105	C0024437	1
DB00736	C0041296	0
DB01191	C0238463	0
DB06774	C0151942	0
DB03017	C0022876	0
DB01408	C0007193	0
DB01212	C0025294	1
DB00154	C1142132	0
DB00801	C0236663	0
DB08880	C0038379	0
DB00067	C0017181	1
fluphenazine-decanoate	C0220989	0
DB00402	C0022951	0
DB01240	C2973725	1
DB00641	C0020557	1
DB01003	C0024899	1
DB00741	C0019112	1
DB06702	C0282528	0
DB00620	C0038363	1
DB01064	C0008677	1
DB00902	C0162820	1
DB00056	C0023479	1
DB00569	C0040053	1
DB01399	C0031117	0
DB00380	C1458155	1
DB00380	C0022660	0
DB09215	C0008149	0
DB12865	C0020503	1
DB00668	C0013428	0
DB08883	C0036572	1
DB08799	C0033774	1
DB00800	C0020545	1
hydrocortisone-phosphate	C0026764	1
DB06603	C0242488	0
DB09038	C0020456	1
DB09212	C0003873	1
DB00620	C0011633	0
estropipate	C0029456	1
DB01247	C1269683	1
DB01090	C1849508	0
DB00835	C2607914	1
methylprednisolone-aceponate	C0014335	1
DB01095	C0020473	1
DB00700	C0018802	1
DB09282	C0035579	0
DB01078	C0018802	1
DB06243	C0005967	0
DB00396	C0476089	1
fluphenazine-decanoate	C0149871	0
DB00352	C0023467	1
DB00951	C0011854	0
DB00647	C0027796	0
DB01303	C3495559	0
DB00945	C0027051	1
DB00200	C0032580	0
DB00782	C0030920	1
DB01090	C0010072	0
ufenamate	C0085669	0
DB00564	C0085417	1
DB00201	C0007786	0
DB00653	C0022876	1
DB01268	C0007134	1
DB00067	C0085612	0
DB00186	C0021603	1
DB00145	C0010200	1
DB00747	C0151740	0
DB00700	C0020428	1
DB09481	C0030920	1
DB00472	C1269683	1
DB01210	C0039621	0
DB01380	C0017563	1
DB13036	C0004096	1
DB09228	C1561643	0
DB01009	C0029408	1
DB01118	C0003811	1
DB00759	C0149704	1
DB00399	C0029401	1
DB11742	C1961099	0
DB00397	C2607914	1
DB00069	C0024437	1
DB00402	C0456909	0
DB11595	C0085083	0
DB06273	C0017531	1
DB01600	C0013238	0
maropitant	C0042963	1
DB00309	C0162836	0
DB00860	C0006114	1
DB00070	C0026961	0
DB00952	C0013720	0
DB00230	C0032768	1
DB00678	C0020538	1
DB01397	C0030446	0
DB00806	C0020433	0
DB00959	C0019829	1
sodium-monofluorophosphate	C0011334	1
DB09018	C2242472	0
DB01380	C0004096	1
DB09131	C0268070	1
DB00648	C0887833	0
ufenamate	C0013595	1
DB08941	C0003850	1
DB00927	C0014869	1
DB00668	C0001883	1
DB00748	C0023473	0
DB11753	C0010692	0
DB01619	C0015230	1
DB00434	C0042109	1
DB03852	C1565489	0
DB01589	C0151940	0
DB00751	C0019618	0
DB00661	C0004239	1
DB01019	C0014553	0
DB12278	C0042024	1
DB00799	C0021390	0
DB00752	C0751122	0
DB00044	C0032787	0
DB00683	C0036341	0
DB00170	C0037299	1
DB00936	C0039103	1
DB00115	C0002871	1
DB08604	C0079731	0
DB00659	C0037286	0
DB01615	C0013405	0
DB09229	C0020538	1
DB00261	C0032463	1
DB00910	C0687150	0
DB01177	C0023449	1
DB01261	C0311277	0
DB00214	C0013604	1
dexamethasone-sodium-phosphate	C0009324	1
DB06699	C0376358	1
DB09555	C0033774	1
DB00762	C0027627	1
DB00656	C0020635	0
DB00192	C0026848	0
DB01685	C0016470	0
DB06201	C0005684	0
DB00121	C0034951	0
DB00374	C2973725	1
DB00579	C0028754	1
DB00846	C0036508	1
DB00995	C0030807	1
DB01291	C0004096	1
DB01186	C0030567	1
DB09048	C0027497	1
DB00571	C0004238	1
DB00309	C0023449	1
DB00798	C0014836	1
DB11582	C0003123	0
DB08820	C1408258	0
DB00635	C0009763	1
DB00527	C0342907	0
DB00008	C2239176	1
DB09010	C0022596	0
DB01611	C0001973	0
psoralen	C0520679	0
DB00475	C0018273	0
DB00363	C3544321	1
DB00998	C0221260	0
DB00724	C0085682	0
DB00424	C0005697	1
DB01101	C0030446	0
DB09270	C0020473	1
DB09488	C0027424	1
DB01235	C0003864	0
DB06153	C0149931	1
DB00572	C0428977	1
DB05541	C0270736	1
DB01069	C0020517	1
DB00114	C0029442	0
DB00535	C0014335	0
DB08896	C0678222	0
DB00547	C0015230	1
DB09075	C0040038	1
DB00939	C0003862	1
DB00377	C0004245	0
DB13689	C0007194	0
DB00692	C0020546	1
DB01579	C0028754	1
bendazac	C0003811	0
DB00177	C0020538	1
DB00443	C0030807	1
DB01067	C1704436	0
DB01307	C0011849	1
DB09035	C0022638	0
DB01062	C0878773	1
DB00927	C0042109	1
DB00531	C0024121	1
DB00115	C0042847	1
DB01367	C0917805	0
DB06699	C0242383	0
DB01240	C0035455	1
DB01037	C1269683	1
DB08908	C0751967	1
DB00748	C0016470	1
DB00031	C0870082	0
prednisolone-acetate	C0009763	1
DB00764	C0346421	0
DB00902	C0343065	1
DB00216	C0022116	0
DB03017	C0020479	0
DB00462	C0021775	0
DB00268	C0030567	1
DB00443	C0024301	1
DB09075	C0004238	1
DB00104	C0001430	1
DB00457	C0039240	0
DB12831	C0730345	0
DB01120	C0020456	1
DB08810	C0030807	0
DB08901	C0031099	0
DB09477	C0020538	1
DB01050	C0025323	1
DB00390	C0079774	0
DB00858	C0150055	0
DB00068	C0409818	0
DB00847	C0015944	0
DB00603	C0476089	1
DB00051	C0009324	1
DB00332	C0008677	1
DB00832	C0014553	1
DB00537	C0037199	1
DB00873	C0002894	0
DB09034	C0151636	0
DB00764	C0024138	1
DB01420	C0024301	0
DB00082	C0001206	1
DB00247	C0878773	0
DB00157	C0002395	1
DB00860	C0010346	1
DB01234	C0024301	1
DB00306	C0917801	1
DB04865	C0023467	1
DB06196	C1140680	0
DB08871	C0008677	0
DB01229	C0014556	0
DB01274	C0349464	0
DB01211	C0155862	1
DB01164	C0268483	0
DB01211	C0154143	0
DB00543	C0003864	0
DB06719	C0037299	0
DB00823	C0016057	0
DB00087	C0031099	0
DB11274	C0037763	0
DB01025	C0020517	1
DB00016	C0029882	0
DB00973	C0020474	1
DB01137	C0023467	0
DB08896	C0032019	0
DB09143	C0039483	0
DB00413	C0024117	0
DB00645	C0011875	0
DB00713	C2242472	1
DB00741	C0024305	1
DB08918	C0220756	0
DB00288	C0079773	1
DB11632	C0030567	1
DB01082	C0014356	1
DB04894	C0376358	0
DB06605	C0034065	1
DB00253	C0409959	0
DB08604	C0032000	0
DB00535	C0029882	1
bucladesine	C0085083	0
DB01325	C0018802	1
DB00500	C0003873	1
DB01275	C0020540	1
DB01353	C0031190	0
DB00945	C0003864	1
DB09026	C0020538	1
DB00722	C0730345	1
DB00147	C0936215	1
DB00181	C0037930	1
ephedrine-(racemic)	C0027404	1
DB00313	C0524620	0
DB01056	C0040997	1
DB06218	C0014544	1
DB06262	C0206245	1
DB01303	C0009319	0
DB09331	C0026764	1
DB01022	C2930898	0
DB11085	C0272375	0
DB00720	C0026764	1
DB06439	C0006267	0
DB00237	C0473527	0
DB12163	C0011849	1
DB09167	C0025500	0
DB00162	C0020676	0
DB00425	C0012833	0
DB00067	C0019069	1
olprinone	C0011848	0
DB12319	C2748055	0
DB00419	C0005741	0
testosterone-undecanoate	C0428974	0
DB11619	C0014175	1
DB00657	C0020540	1
DB00476	C0031154	0
DB00104	C0032019	1
DB00414	C0220989	0
DB06720	C0023418	0
DB00583	C0342788	1
DB00304	C0014175	1
DB00414	C0020456	1
DB09128	C0036341	1
DB01144	C0017612	1
DB00180	C0028326	0
DB01009	C0342384	0
DB04953	C0040822	0
DB00734	C0700201	0
DB09462	C0272375	0
DB12867	C0702166	0
DB01241	C0030305	1
DB04861	C0020538	1
DB01590	C0007134	1
DB01025	C0023892	0
DB07615	C0311277	0
DB00754	C0018798	0
zotarolimus	C0030578	0
DB11950	C0008149	0
DB01053	C0025294	1
DB00384	C0020757	0
DB00985	C0008312	0
DB09235	C0424489	0
ftorafur	C0029443	0
DB00100	C0014335	0
DB00106	C0017563	0
DB00427	C0035457	1
DB01122	C0026896	1
DB00290	C0234533	0
DB00120	C0042900	1
DB00713	C0038160	1
DB06655	C0011849	1
DB00297	C0079773	0
telotristat-ethyl	C0026764	0
DB00944	C0017601	1
DB00290	C0007137	1
DB00189	C0042023	0
DB00610	C0020649	1
prednisolone-sodium-phosphate	C0001627	1
DB00449	C0009324	0
DB01005	C0751435	0
DB00571	C0018916	1
DB00551	C0042029	1
DB00284	C0010308	0
DB00755	C0162834	1
DB00586	C0032227	0
DB00063	C0018790	0
DB00897	C0018790	0
DB00822	C0001973	1
DB00552	C0007102	0
DB06292	C0033578	0
DB00852	C0035457	1
DB01035	C0151636	1
DB08893	C0042024	1
DB00470	C0343755	1
DB09213	C0003873	1
DB00497	C0033975	0
DB01623	C0022596	0
DB01050	C0085580	0
DB00542	C0013144	0
DB06691	C0042109	1
DB00875	C0021308	0
DB02709	C0878544	0
DB00112	C1621958	1
DB01364	C0004096	1
DB00818	C0038220	1
DB04932	C2931618	0
DB00304	C0029463	0
DB00860	C0002994	1
DB01228	C0012833	0
DB00508	C0235480	0
DB00105	C0009404	1
DB00389	C0020550	1
DB05578	C0007131	1
DB01137	C3463824	0
DB00531	C0678222	1
DB00007	C0037188	0
DB06271	C0011849	0
DB00620	C0006114	1
DB01242	C0238111	0
DB00315	C0149931	1
DB00635	C0023448	1
DB06695	C0040053	1
DB00579	C0870082	0
DB01114	C2607914	1
DB00574	C0271568	0
DB01110	C0032787	0
DB06479	C0038454	1
DB09167	C0018213	0
butorphanol-(+)-tartrate	C2931618	0
DB00384	C0018802	1
DB00668	C0002792	1
DB00420	C0040479	0
DB00837	C0035854	0
DB12598	C0023890	0
DB08881	C0206693	0
DB00776	C0001403	0
DB00853	C0017636	1
DB00773	C0035412	1
estropipate	C0017531	0
DB00771	C0015503	0
DB00373	C0003811	1
DB00881	C0007789	0
DB01029	C0020538	1
DB01059	C0042029	1
phosphatidylcholine	C0005424	0
DB04855	C0015456	0
DB00036	C0015503	1
DB01380	C0019829	1
DB11166	C0042514	0
DB00938	C0003962	0
DB00553	C0032000	0
DB06439	C0004364	0
DB06216	C0596263	0
DB00392	C0018995	0
DB00651	C0008677	1
DB00394	C0004096	1
DB01577	C0030446	0
DB01149	C0015230	0
DB00970	C0035335	1
DB00993	C0221765	0
DB11274	C0030567	1
DB01212	C0004775	0
DB00242	C0036220	0
DB09279	C0020538	1
DB00472	C2267227	1
DB01047	C0002418	0
DB00631	C0085159	0
DB09559	C0242698	0
DB01165	C0014534	1
DB00110	C0149704	0
DB01393	C0020473	1
methylprednisolone-aceponate	C0232940	0
DB09034	C0020481	0
DB04216	C0015672	1
DB04941	C0018916	0
DB00542	C0014742	0
DB00024	C0497327	0
DB00240	C0015230	1
DB01021	C0018802	1
DB00959	C0039103	1
DB00240	C0036508	1
DB01260	C1384600	0
DB00653	C0039685	0
cortisone	C0023518	0
DB00469	C0003873	1
DB08877	C0021308	0
fludarabine-phosphate	C0019054	0
DB01396	C0007786	0
DB01132	C0020456	1
DB00443	C0004364	1
DB00722	C0027051	1
DB06803	C0027430	0
thiostrepton	C0030920	0
DB01018	C1263846	1
amtolmetin-guacil	C0010346	0
DB09229	C0242350	0
DB00972	C0011615	0
DB01124	C0025323	0
DB00757	C0032914	0
DB00279	C0920350	1
DB00541	C0027708	1
epalrestat	C0029458	0
DB04842	C0036341	1
DB00222	C0020456	1
DB00880	C1336708	0
DB00136	C0042875	1
DB00836	C1134719	0
DB08869	C0234974	0
r(-)-apomorphine	C0001883	0
DB00661	C2937421	0
DB00620	C0011606	1
DB00939	C0003873	1
DB06439	C0010674	1
DB01429	C0011854	0
DB00916	C2930898	0
DB04665	C0004096	1
DB00741	C0002994	1
DB00377	C0085215	0
DB11834	C0038356	0
DB00065	C3495559	1
DB00008	C1540912	1
DB00193	C0022354	0
DB04844	C0342543	0
DB00207	C0032285	1
DB04878	C0035228	0
DB04932	C0040053	1
DB00028	C0011633	1
DB01619	C0027424	1
DB01240	C0010200	1
DB11824	C0011849	1
DB00322	C0424489	0
DB00112	C0004352	0
DB00640	C0030590	1
DB01170	C0020544	1
DB00104	C0011991	1
DB00010	C0013338	1
DB00105	C0040136	1
DB00424	C0037036	1
DB01303	C0023467	0
DB00214	C0162834	0
DB01212	C0149725	1
DB00513	C0151714	0
DB00094	C0016470	0
DB09477	C0476089	0
DB00448	C0013295	1
DB00218	C0037199	1
DB00443	C0036508	1
DB00950	C2607914	1
DB01235	C1384606	0
DB00741	C0033860	1
trelagliptin	C0011849	1
DB00366	C0020517	1
DB00551	C0030319	0
DB00557	C2607914	1
DB01071	C0238052	0
DB00007	C2937421	1
DB00331	C0334634	0
DB01070	C0035579	1
DB00328	C0020676	0
DB03904	C0259817	1
DB01246	C0018790	0
DB00472	C0700201	0
piperidolate	C0236964	0
DB00309	C0085669	1
DB00884	C0149704	0
DB00963	C0003850	0
DB00288	C0032000	0
ammonium-lactate	C0020452	0
DB04854	C0023448	0
DB01085	C0028840	1
DB00938	C0036323	0
DB00657	C0085580	1
DB00357	C1458155	1
DB01380	C0010346	1
DB00981	C0017612	1
DB00443	C0015397	1
DB01615	C0021655	0
DB00054	C0002965	1
DB03904	C0028840	1
DB01232	C0021051	1
DB01182	C0085612	1
DB00653	C0032914	1
DB01182	C0003811	1
DB00262	C0004114	1
DB05246	C0003578	0
DB00655	C1458155	1
DB01036	C0022104	0
DB00423	C0027121	1
DB00635	C0029134	1
DB09078	C0238463	1
DB00283	C0002994	1
DB00302	C0042963	0
DB01068	C0030319	1
DB00413	C0019112	0
DB01148	C0751434	0
DB06219	C0162627	1
gentamycin	C0036690	0
DB04920	C0014869	0
DB00647	C0017638	0
DB00424	C0040822	1
DB01084	C0024117	0
DB08912	C0023487	0
DB01176	C0042963	1
DB00936	C0033860	1
DB00704	C0028754	1
DB01288	C0342788	0
DB00860	C0038325	1
fludarabine-phosphate	C0018213	0
DB00993	C0039483	0
DB00617	C0014553	1
DB01399	C0003864	1
DB09477	C0004775	1
DB01234	C2718128	1
DB00060	C0007134	1
DB00816	C0034067	1
DB01224	C0005586	1
DB01177	C0037299	0
DB00008	C0524910	1
DB00175	C0020479	1
DB01200	C0020514	1
DB00896	C0002418	0
DB00652	C0024894	0
DB00443	C0001403	1
DB00631	C2931618	0
dabigatran	C0038454	1
DB00026	C0038013	0
DB01406	C0007194	0
DB00462	C0002893	0
DB11157	C0033860	1
DB01158	C0020640	0
DB00885	C0003469	0
DB00551	C0037036	0
megestrol-acetate	C0006625	1
DB00069	C0040028	1
DB00094	C0032460	1
DB03793	C0011644	1
DB00342	C0271093	0
DB00852	C0687150	0
DB00996	C0024523	0
